RC50,cmax,cavg,tmax,cmin,tmin,auc,aucm,tRC50,response
1,25.2392660057379,1.47568316434035,0.738048521800067,3.47209801911853e-10,23.9999980679983,35.4146865537456,16190.9356721579,3.08054495697934,5.40415889815904e-07
1,12.8689653123671,0.598613499118654,0.627418763307674,8.06164207012166e-11,23.9999980910093,14.3659227263086,6564.50163001888,2.09279462574705,1.26428401081569e-07
1,37.6328131595019,3.02700165077906,0.886170841333183,8.54939407637604e-09,23.9999977688682,72.6449393524428,33243.9337372028,4.92113244063853,1.25272110573782e-05
1,2.48397006547306,0.196875427195105,0.539680502796273,0.000535251051458135,23.9999982241996,4.72485017781465,2165.8003763766,1.45236153055259,0.0772916918199806
1,237.899943755979,229.929811284597,0.885121047034659,225.131875883464,23.9999978353799,5518.31439704633,2582116.10551469,23.9999978353799,99.5437468772691
1,8.54720135629919,6.1581107026923,1.10250485168859,5.69565660841355,23.9999984547387,147.794618515942,69087.0101108561,23.9999984547387,84.4715951241424
1,15.3740405241119,4.98372094514319,0.734280093818825,1.52115501076359,23.9999985022303,119.606463736432,55501.8476153918,23.9999985022303,62.2020759206822
1,53.752232759189,24.7334084316373,1.50635093660901,7.26005663696868,23.999998631571,593.577790293804,275634.705514716,23.999998631571,88.7497457931846
1,36.5141234874867,4.55847040840673,1.03389711071645,0.000354899117725728,23.999997966117,109.398680715951,50164.1993228941,8.37042884811331,0.0724914251780784
1,209.59150057061,167.317907284917,1.82360954758235,127.416199624362,23.9999983840755,4015.58190206055,1875521.11505302,23.9999983840755,99.2371096045649
1,46.6240359772945,4.92704914613208,1.01553066795265,1.75988711157358e-05,23.9999980249593,118.244464950123,54173.7596283394,7.24432371783791,0.00510185619300163
1,8.39960845615102,0.437436667226692,0.635632876243903,8.20239866147347e-11,23.9999976091246,10.497961612802,4797.94549457704,2.09635675458287,1.4226544386986e-07
1,167.896257494325,133.435033032492,1.79811300791715,100.985978139261,23.999998398301,3202.408599373,1495644.59498304,23.999998398301,99.0398648589228
1,72.0148487215726,20.350541881022,1.41889607999491,1.33274736083433,23.9999977358293,488.386575227114,225549.509569744,23.9999977358293,61.2289773968736
1,229.483724371805,187.783724735964,1.82432576947207,147.714712537247,23.9999981587218,4506.76075049772,2105417.33084076,23.9999981587218,99.3396869616736
1,124.708128252075,79.7218680794151,1.74552284221653,43.8410167580034,23.9999973934746,1913.25880333527,891656.637061737,23.9999973934746,97.8623356406065
1,8.74885054530347,3.64712683850209,0.734897673966884,2.74938983492673,23.9999983777377,87.530875106008,40821.8926480939,23.9999983777377,73.541608326347
1,6.81861811263007,0.300463728038626,0.577819653523193,4.41802347761494e-11,23.9999973844784,7.21071788012977,3294.54942270733,1.6722006398852,7.53589857183101e-08
1,8.21259753107156,1.50280163995349,0.62526381999561,0.306462042582187,23.999997438174,36.0662544861491,16680.834491602,11.5313942591546,25.2263355079618
1,374.944889414721,351.152448204849,1.82107977778912,326.070451639493,23.9999982494133,8427.64653486612,3941912.44831561,23.9999982494133,99.6935980326739
1,53.3116604254005,8.46097595145393,1.17100723638885,0.0123323368462093,23.9999979659621,203.053668915758,93261.5637173821,12.0848768771548,1.90917844124849
1,48.5345131682491,5.53930920736024,1.04923629733486,8.84786069401914e-05,23.999998028111,132.937498811301,60929.3264903721,7.94099485051163,0.0213638780131142
1,70.997164426702,22.481162164711,1.4639406030758,2.27822282908374,23.9999986631993,539.517883131607,249479.409235423,23.9999986631993,72.4585654155347
1,367.607042885039,326.937698874373,1.86086530461125,285.509545289209,23.9999980715841,7846.47340236131,3668413.68327512,23.9999980715841,99.6542025687002
1,8.05364188372447,2.70528298097006,0.692824229550013,1.79344210094806,23.9999985617066,64.9265227766985,30239.233592154,23.9999985617066,64.6266491533754
1,32.532464535679,2.58424518785914,0.876329164795436,5.72333116760525e-09,23.9999975178969,62.0192670310506,28379.7416613582,4.68809946152487,9.13417063097555e-06
1,69.3219599508041,16.312223271638,1.34358762665647,0.448963951012389,23.9999977541329,391.473912731406,180440.174681019,20.1610024013835,36.0225514546644
1,52.6876501972236,9.55741674853305,1.2146999299905,0.0469095155321154,23.9999975005742,229.366876912486,105459.493033367,14.0592505327023,6.29628770565023
1,9.08154303299449,5.34247308481503,0.887687918150618,4.67424671633529,23.9999978817698,128.219271694422,59897.0706664286,23.9999978817698,82.1297847557406
1,304.34962996588,264.288213927354,1.85500651123789,224.141383322697,23.9999986746162,6342.88874727331,2964812.26205263,23.9999986746162,99.5612373173096
1,88.2191311821036,48.9864668250759,1.67544543850101,21.0910886552645,23.999998114501,1175.62799779084,547071.428806141,23.999998114501,95.7225601220775
1,28.5990647742788,10.5186037056279,1.09779840206681,1.96154364012096,23.9999982978371,252.435791029776,116956.147402356,23.9999982978371,68.663941022129
1,111.816672029571,96.7805679143125,1.2694518091057,82.4744528576066,23.9999986049811,2322.72357116859,1085681.06777448,23.9999986049811,98.8159729120122
1,1.26025400223843,0.135473162407911,0.491828049831156,0.0357087954176727,23.999998023209,3.25130081407601,1501.21870242188,0.530059308366162,3.60397900717642
1,14.3084171800037,0.682652953572025,0.639435969604108,8.80762656470002e-11,23.9999986600959,16.382772117748,7486.47477856923,2.17551694861646,1.38530853455165e-07
1,1.96829994788749,0.259666300657713,0.554543346827302,0.0992615803366117,23.9999978645901,6.23191347506718,2884.96672080787,1.04365314534675,9.29886000253987
1,1.95954506549885,0.38342454136242,0.753972030902617,0.215697141969348,23.9999982829083,9.20212635574194,4274.03368013122,1.37152866656061,17.9487636542351
